"Month","Tract 18 Max","Month","Tract 27 Max","Month","Tract 28 Max","Month","Tract 37 Max","Month","Tract 44.01 Max","Month","Tract 44.02 Max"
"2021-03",168,"2021-03",173,"2021-03",166,"2021-03",173,"2021-03",155,"2021-03",166
"2021-04",71,"2021-04",65,"2021-04",74,"2021-04",74,"2021-04",57,"2021-04",74
"2021-05",60,"2021-05",55,"2021-05",55,"2021-05",55,"2021-05",55,"2021-05",52
"2021-06",85,"2021-06",47,"2021-06",57,"2021-06",57,"2021-06",52,"2021-06",57
"2021-07",173,"2021-07",169,"2021-07",173,"2021-07",169,"2021-07",161,"2021-07",168
"2021-08",236,"2021-08",246,"2021-08",257,"2021-08",255,"2021-08",257,"2021-08",255
"2021-09",152,"2021-09",152,"2021-09",153,"2021-09",148,"2021-09",153,"2021-09",148
"2021-10",144,"2021-10",154,"2021-10",153,"2021-10",134,"2021-10",153,"2021-10",134
"2021-11",155,"2021-11",157,"2021-11",174,"2021-11",175,"2021-11",174,"2021-11",175
"2021-12",145,"2021-12",153,"2021-12",178,"2021-12",174,"2021-12",178,"2021-12",174
"2022-01",160,"2022-01",163,"2022-01",178,"2022-01",195,"2022-01",178,"2022-01",195
"2022-02",147,"2022-02",124,"2022-02",160,"2022-02",172,"2022-02",160,"2022-02",172
"2022-03",159,"2022-03",76,"2022-03",142,"2022-03",149,"2022-03",142,"2022-03",149
"2022-04",61,"2022-04",147,"2022-04",114,"2022-04",147,"2022-04",77,"2022-04",114
"2022-05",75,"2022-05",152,"2022-05",52,"2022-05",152,"2022-05",47,"2022-05",60
"2022-06",64,"2022-06",94,"2022-06",68,"2022-06",87,"2022-06",61,"2022-06",87
"2022-07",80,"2022-07",78,"2022-07",116,"2022-07",129,"2022-07",95,"2022-07",129
"2022-08",90,"2022-08",74,"2022-08",73,"2022-08",95,"2022-08",73,"2022-08",95
"2022-09",121,"2022-09",151,"2022-09",121,"2022-09",131,"2022-09",121,"2022-09",131
"2022-10",100,"2022-10",100,"2022-10",88,"2022-10",126,"2022-10",88,"2022-10",126
"2022-11",153,"2022-11",162,"2022-11",174,"2022-11",203,"2022-11",174,"2022-11",203
"2022-12",172,"2022-12",172,"2022-12",170,"2022-12",174,"2022-12",167,"2022-12",174
"2023-01",139,"2023-01",124,"2023-01",157,"2023-01",176,"2023-01",138,"2023-01",176
"2023-02",157,"2023-02",157,"2023-02",154,"2023-02",178,"2023-02",102,"2023-02",178
"2023-03",68,"2023-03",69,"2023-03",75,"2023-03",86,"2023-03",75,"2023-03",86
"2023-04",73,"2023-04",65,"2023-04",95,"2023-04",106,"2023-04",95,"2023-04",106
