"Month","Tract 18 Mean","Month","Tract 27 Mean","Month","Tract 28 Mean","Month","Tract 37 Mean","Month","Tract 44.01 Mean","Month","Tract 44.02 Mean"
"2021-03",29.512389752205,"2021-03",26.7148936170213,"2021-03",27.830072666294,"2021-03",25.6854433909649,"2021-03",24.7356902356902,"2021-03",24.6418410041841
"2021-04",30.7861111111111,"2021-04",29.3138888888889,"2021-04",29.6046296296296,"2021-04",28.5421296296296,"2021-04",27.3486111111111,"2021-04",27.6291666666667
"2021-05",22.17050067659,"2021-05",21.6786197564276,"2021-05",22.4162186379928,"2021-05",22.0766129032258,"2021-05",23.0846774193548,"2021-05",21.7620967741935
"2021-06",22.1017361111111,"2021-06",21.1334630350195,"2021-06",22.6638888888889,"2021-06",19.7944444444444,"2021-06",22.2041666666667,"2021-06",19.0354166666667
"2021-07",30.1149193548387,"2021-07",29.6356562922869,"2021-07",29.8149641577061,"2021-07",30.1344086021505,"2021-07",29.2271505376344,"2021-07",30.2869623655914
"2021-08",61.7002688172043,"2021-08",61.258064516129,"2021-08",60.8561827956989,"2021-08",61.6948924731183,"2021-08",64.0739247311828,"2021-08",61.3622311827957
"2021-09",45.3631944444444,"2021-09",44.7788194444444,"2021-09",43.9768518518519,"2021-09",45.124537037037,"2021-09",46.7152777777778,"2021-09",44.7368055555556
"2021-10",32.805985205111,"2021-10",31.8639112903226,"2021-10",31.8095878136201,"2021-10",33.2464157706093,"2021-10",35.0497311827957,"2021-10",33.1639784946237
"2021-11",62.1891348088531,"2021-11",61.0573913043478,"2021-11",67.9141531322506,"2021-11",72.0097447795824,"2021-11",80.6041666666667,"2021-11",75.6034843205575
"2021-12",55.8491902834008,"2021-12",54.092530282638,"2021-12",58.6128597122302,"2021-12",63.4982046678636,"2021-12",67.8472972972973,"2021-12",66.0896226415094
"2022-01",72.1088709677419,"2022-01",72.994623655914,"2022-01",81.4444444444444,"2022-01",86.3481182795699,"2022-01",96.3440860215054,"2022-01",91.3575268817204
"2022-02",51.3400297619048,"2022-02",51.0063244047619,"2022-02",56.3060515873016,"2022-02",59.6220238095238,"2022-02",66.0535714285714,"2022-02",62.5483630952381
"2022-03",28.2056451612903,"2022-03",26.6394489247312,"2022-03",26.5645161290323,"2022-03",28.5089605734767,"2022-03",29.7056451612903,"2022-03",28.3965053763441
"2022-04",25.7430555555556,"2022-04",24.5569444444444,"2022-04",23.4856481481481,"2022-04",25.7623899953682,"2022-04",24.7,"2022-04",25.1688672689368
"2022-05",24.0884033613445,"2022-05",23.2741935483871,"2022-05",21.2594086021505,"2022-05",23.5663082437276,"2022-05",21.7836021505376,"2022-05",22.6747311827957
"2022-06",25.5142361111111,"2022-06",24.6604166666667,"2022-06",22.9898100972673,"2022-06",24.7774687065369,"2022-06",23.1627260083449,"2022-06",24.2727905358386
"2022-07",25.2627688172043,"2022-07",24.3188844086022,"2022-07",23.0040322580645,"2022-07",24.7750896057348,"2022-07",23.3467741935484,"2022-07",24.4079301075269
"2022-08",33.4254032258064,"2022-08",32.8037634408602,"2022-08",31.21729390681,"2022-08",33.5878136200717,"2022-08",32.0524193548387,"2022-08",33.4133064516129
"2022-09",35.9465277777778,"2022-09",35.4517361111111,"2022-09",34.0708333333333,"2022-09",36.8995796356843,"2022-09",35.4486111111111,"2022-09",36.9605911330049
"2022-10",36.221438172043,"2022-10",35.6463157894737,"2022-10",34.839605734767,"2022-10",38.0622759856631,"2022-10",36.9852150537634,"2022-10",38.2116935483871
"2022-11",45.3331015299026,"2022-11",45.0245711636532,"2022-11",48.5836810384794,"2022-11",54.2716736207696,"2022-11",56.4005563282337,"2022-11",57.0653685674548
"2022-12",56.9573252688172,"2022-12",56.369623655914,"2022-12",59.578853046595,"2022-12",66.4529569892473,"2022-12",66.494623655914,"2022-12",69.7237903225806
"2023-01",30.3719758064516,"2023-01",29.3884408602151,"2023-01",28.573476702509,"2023-01",35.4704301075269,"2023-01",28.6586021505376,"2023-01",37.0154569892473
"2023-02",39.9412202380952,"2023-02",39.4226190476191,"2023-02",38.0380842469706,"2023-02",47.6428159261396,"2023-02",34.2366071428571,"2023-02",50.9491046182846
"2023-03",22,"2023-03",21.125,"2023-03",18.8882275132275,"2023-03",24.2354497354497,"2023-03",17.1290322580645,"2023-03",24.7213541666667
"2023-04",22.4852941176471,"2023-04",21.5890522875817,"2023-04",20.2794117647059,"2023-04",24.5649509803922,"2023-04",18.7745098039216,"2023-04",25.3700980392157
